title,artist,album,duration,album_image
Risk,Gracie Abrams,Risk,3:11,https://i.scdn.co/image/ab67616d00004851d4dfa963aee2840dd692766c
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",3:38,https://i.scdn.co/image/ab67616d0000485191b4bc7c88d91a42e0f3a8b7
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,5:03,https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62
L’AMOUR DE MA VIE,Billie Eilish,HIT ME HARD AND SOFT,5:33,https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62
all-american bitch,Olivia Rodrigo,GUTS,2:45,https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d
get him back!,Olivia Rodrigo,GUTS,3:31,https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d
so american,Olivia Rodrigo,GUTS (spilled),2:49,https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,3:12,https://i.scdn.co/image/ab67616d0000485196fa88fb1789be437d5cb4b6
Nothing Matters,The Last Dinner Party,Prelude to Ecstasy,3:02,https://i.scdn.co/image/ab67616d00004851aaa10f339ed589b84c51137d
love is embarrassing,Olivia Rodrigo,GUTS,2:34,https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,3:04,https://i.scdn.co/image/ab67616d0000485196fa88fb1789be437d5cb4b6
obsessed,Olivia Rodrigo,GUTS (spilled),2:50,https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee
lacy,Olivia Rodrigo,GUTS,2:57,https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,3:48,https://i.scdn.co/image/ab67616d000048518b58d20f1b77295730db15b4
End of Beginning,Djo,DECIDE,2:39,https://i.scdn.co/image/ab67616d00004851fddfffec51b4580acae727c1
Mess It Up,Gracie Abrams,Mess It Up,2:51,https://i.scdn.co/image/ab67616d000048511e209fb0ebc9de8c859bd25f
Uranium Fever,Elton Britt,Presenting Elton Britt,2:19,https://i.scdn.co/image/ab67616d000048514b4346c0ce6f30ca3abc9a06
i like the way you kiss me,Artemas,i like the way you kiss me,2:22,https://i.scdn.co/image/ab67616d00004851e67611dbbf69a90d0b6cb738
Back To Me,The Rose,Back To Me / Alive,3:44,https://i.scdn.co/image/ab67616d00004851502bb6f0ae94320b76043c4a
Glimpse of Us,Joji,SMITHEREENS,3:53,https://i.scdn.co/image/ab67616d00004851eaac2a7955f5b8967991cacb
stranger,Olivia Rodrigo,GUTS (spilled),3:12,https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee
Hotel California - 2013 Remaster,Eagles,Legacy,6:31,https://i.scdn.co/image/ab67616d0000485102d8e0b39b6058ba1c0c48c9
Espresso,Sabrina Carpenter,Espresso,2:55,https://i.scdn.co/image/ab67616d00004851659cd4673230913b3918e0d5
Too Much,girl in red,I'M DOING IT AGAIN BABY!,3:03,https://i.scdn.co/image/ab67616d000048518a444875575da1e376dc3a62
